threshold,precision,recall,f1_score,tn,fp,fn,tp
0.3,0.027314112291350532,0.9818181818181818,0.0531496062992126,22,1923,1,54
0.4,0.027697634160415464,0.8727272727272727,0.053691275167785234,260,1685,7,48
0.5,0.03567447045707915,0.5818181818181818,0.06722689075630252,1080,865,23,32
0.55,0.03640256959314775,0.3090909090909091,0.06513409961685823,1495,450,38,17
0.6,0.060240963855421686,0.18181818181818182,0.09049773755656108,1789,156,45,10
0.65,0.08108108108108109,0.05454545454545454,0.06521739130434782,1911,34,52,3
