,accuracy,precision,recall,f1_score,roc_auc,pr_auc
logistic_regression,0.556,0.0335946248600224,0.5454545454545454,0.06329113924050633,0.5629726571628886,0.043249061798461816
random_forest,0.9725,0.0,0.0,0.0,0.6253750876372984,0.04315692787752179
