threshold,precision,recall,f1_score,tn,fp,fn,tp
0.3,0.0,0.0,0.0,1944,1,55,0
0.4,0.0,0.0,0.0,1945,0,55,0
0.5,0.0,0.0,0.0,1945,0,55,0
0.55,0.0,0.0,0.0,1945,0,55,0
0.6,0.0,0.0,0.0,1945,0,55,0
0.65,0.0,0.0,0.0,1945,0,55,0
