,accuracy,precision,recall,f1_score,roc_auc,pr_auc
logreg_smote,0.556,0.03567447045707915,0.5818181818181818,0.06722689075630252,0.5851928020565553,0.04474857934693702
xgboost_smote,0.387,0.028962188254223652,0.6545454545454545,0.05546995377503852,0.5630474409908858,0.04458963336260328
