threshold,precision,recall,f1_score,tn,fp,fn,tp
0.3,0.02721774193548387,0.9818181818181818,0.052967140755272195,15,1930,1,54
0.4,0.027161862527716185,0.8909090909090909,0.052716514254975796,190,1755,6,49
0.5,0.0335946248600224,0.5454545454545454,0.06329113924050633,1082,863,25,30
0.55,0.03940886699507389,0.2909090909090909,0.06941431670281996,1555,390,39,16
0.6,0.07207207207207207,0.14545454545454545,0.0963855421686747,1842,103,47,8
0.65,0.09090909090909091,0.03636363636363636,0.05194805194805195,1925,20,53,2
